SEQN,CONTENT,PRESENT,PREPARATION,AFTER,FELT,CHALLENGE,OPPORTUNITY,RESOURA,RESOURB,RESOURC,RESOURD,RESOURE,RESOURF,RESOURG,TIME,LEARN,SCORE
1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,21
2,2,0,2,0,1,1,1,0,1,0,1,1,1,0,2,1,28
3,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,47
4,3,0,1,1,2,1,1,0,0,0,1,0,0,0,0,1,49
5,1,0,2,1,0,1,1,0,0,0,0,1,1,0,1,1,51
6,2,0,2,0,2,1,1,0,0,0,1,1,0,0,0,1,52
7,1,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,52
8,3,1,3,2,0,1,1,0,0,0,0,1,1,0,1,1,53
9,2,0,2,1,1,0,1,0,0,0,0,1,1,0,1,1,57
10,2,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,60
11,1,0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,60
12,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,60
13,1,0,2,1,0,1,1,0,0,0,1,1,1,0,1,1,61
14,2,0,2,0,1,1,1,0,0,0,1,1,1,0,0,1,63
15,2,0,1,1,2,1,1,0,0,0,0,1,0,0,0,1,64
16,2,0,2,2,0,0,1,0,0,0,1,1,1,0,1,1,67
17,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,68
18,2,0,2,1,0,1,1,0,0,0,1,1,1,0,0,1,69
19,2,0,2,1,2,1,1,0,0,0,0,1,1,0,0,1,70
20,2,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,72
21,2,0,1,0,2,1,1,0,0,0,0,1,1,0,0,1,72
22,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,75
23,2,1,2,1,2,1,1,0,0,0,1,1,1,0,1,1,77
24,2,0,2,1,1,1,1,0,0,0,0,1,1,0,1,1,77
25,2,0,2,1,1,1,1,0,0,0,1,1,0,0,0,1,79
26,2,1,2,1,2,1,1,0,0,0,1,1,1,0,1,1,81
27,3,1,2,2,2,1,1,0,0,0,0,0,0,0,0,1,84
28,3,1,2,1,2,1,1,0,0,0,0,1,1,0,1,1,84
29,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,86
30,2, , ,1,2,1,1,1,0,0,1,1,1,0,0,1,89
31,2,1, ,1,2,1,1,0,0,0,1,1,1,0,0, ,90
32,2,1,2,2,2,1,1,0,0,0,1,1,1,0,0,1,90
33,2,1,2,2,1,1,1,0,0,0,1,1,1,0,0,1,91
34,2,1,2,1,2,1,1,0,0,0,0,1,1,0,1,1,91
35,2,1,2,1,2,1,1,0,0,0,0,1,1,1,2,1,94
36,2,0,1,1,2,1,1,0,0,0,1,0,0,0,0,1,94
37,2,1,2,1,2,1,1,0,0,0,0,1,1,0,0,1,95
38,1,1,2,1,2,1,1,0,0,0,0,1,1,0,0,1,95
39,2,1,2,1,2,1,1,0,0,0,0,1,1,0,1,1,96
40,2,1,2,2,2,1,1,0,0,0,0,0,1,0,0,1,97
41,3,1,2,3,2,1,1,0,0,0,1,1,1,0,0,1,102
42,2,1,2,1,2,1,1,1,0,0,1,1,1,0,2,1,102
43,3,1,3,2,2,1,1,0,0,0,0,1,1,0,1,1,102
44,3,1,2,2,2,0,1,0,0,0,0,1,0,0,0,1,103
45,2,1,2,0,2,1,1,1,0,0,0,1,1,1,3,1,105
46,3,1,2,2,2,1,1,1,0,0,1,1,1,0,2,1,107
47,3,1,2,1,2,1,1,1,0,0,1,1,1,0,1,1,107
48,3,1,2,2,2,1,1,0,0,0,0,1,0,0,1,1,108
49,3,1,2,1,2,1,1,0,0,0,1,1,0,0,1,1,109
50,2,1,2, ,2,1,1,0,0,0,0,1,1,0,0,1,115
51,3,1,2,3,2,1,1,1,1,0,1,1,1,0,0,1,118
